1	1.00
1242	1.01
1246	1.02
1264	1.03
1268	1.04
1284	1.05
1340	1.06
1345	1.07
1441	1.08
1473	1.09
1649	1.11
1664	1.12
1670	1.13
1671	1.14
1684	1.15
1721	1.16
1758	1.17
1767	1.18
1784	1.19
1787	1.20
1808	1.21
1809	1.22
1868	1.23
1869	1.24
1876	1.25
20	1.26
211	1.27
212	1.28
213	1.29
216	1.30
218	1.00
220	1.01
221	1.02
222	1.03
223	1.04
224	1.05
225	1.06
226	1.07
227	1.08
228	1.09
229	1.11
230	1.12
231	1.13
232	1.14
233	1.15
234	1.16
235	1.17
236	1.18
237	1.19
238	1.20
239	1.21
240	1.22
241	1.23
242	1.24
243	1.25
244	1.26
245	1.27
246	1.28
247	1.29
248	1.30
249	1.00
250	1.01
251	1.02
252	1.03
253	1.04
254	1.05
255	1.06
25524	1.07
256	1.08
257	1.09
258	1.11
260	1.12
261	1.13
262	1.14
262269	1.15
263	1.16
264	1.17
265	1.18
266	1.19
267	1.20
268	1.21
269	1.22
27	1.23
290	1.24
2908	1.25
291	1.26
297	1.27
298	1.28
299	1.29
30	1.30
31	1.00
32	1.01
33	1.02
34	1.03
350	1.04
351	1.05
352	1.06
353	1.07
354	1.08
355	1.09
356	1.11
357	1.12
358	1.13
35818	1.14
359	1.15
36	1.16
370	1.17
371	1.18
372	1.19
373	1.20
3732	1.21
374	1.22
37447	1.23
375	1.24
376	1.25
377	1.26
378	1.27
380	1.28
381	1.29
382	1.30
385	1.00
386	1.01
387	1.02
389	1.03
3906698	1.04
39	1.05
40	1.06
41	1.07
420	1.08
421	1.09
423	1.11
43	1.12
44	1.13
441481	1.14
441534	1.15
441624	1.16
4428	1.17
45	1.18
46	1.19
47	1.20
4779	1.21
48	1.22
49	1.23
500	1.24
501	1.25
502	1.26
503	1.27
504	1.28
505	1.29
506	1.30
507	1.00
508	1.01
509	1.02
51	1.03
52	1.04
53	1.05
54	1.06
55	1.07
56	1.08
57	1.09
58	1.11
590	1.12
591	1.13
592	1.14
593	1.15
594	1.16
595	1.17
596	1.18
597	1.19
598	1.20
5993	1.21
5994	1.22
5997	1.23
5999	1.24
60	1.25
61	1.26
6189162	1.27
6189164	1.28
62	1.29
63	1.30
64	1.00
65	1.01
66	1.02
670	1.03
672	1.04
6721	1.05
6723	1.06
673	1.07
674	1.08
675	1.09
676	1.11
677	1.12
678	1.13
679	1.14
680	1.15
681	1.16
682	1.17
683	1.18
685	1.19
686	1.20
687	1.21
688	1.22
689	1.23
690	1.24
691	1.25
692	1.26
7	1.27
76	1.28
7840	1.29
800	1.30
808	1.00
81	1.01
82	1.02
84	1.03
850	1.04
852	1.05
853	1.06
855	1.07
856	1.08
86	1.09
870	1.11
878	1.12
880	1.13
8810	1.14
881	1.15
8812	1.16
8816	1.17
8818	1.18
882	1.19
88213	1.20
88216	1.21
886	1.22
888	1.23
90	1.24
90392	1.25
91	1.26
92	1.27
93	1.28
94	1.29
95	1.30
960	1.00
961	1.01
962	1.02
963	1.03
964	1.04
965	1.05
966	1.06
967	1.07
968	1.08
970	1.09
971	1.11
972	1.12
973	1.13
974	1.14
975	1.15
976	1.16
977	1.17
979	1.18
98	1.19
992	1.20
993	1.21
994	1.22
995	1.23
99534	1.24
996	1.25
998	1.26
